Country Name,Country Code,Indicator Name,Indicator Code,Attribute,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
St. Kitts and Nevis,361,Financial Institutions Access Index,FD_FIA_IX,Value,0.7734891,0.7965916,0.8000236,0.8668203,0.787927,0.7187818,0.6598172,0.6776459,0.8080178,0.7908832,0.7908508,0.7210507,0.7516826,0.7729372,0.7427658,0.760956,0.7516201,0.7446999,0.7348247,0.7481284,0.7890247,0.7581503,0.7687582,0.7677422,0.8008863,0.7964898,0.7924195,0.7886251,0.8098435,0.842859,0.8266922,0.8707079,0.8782886,0.9792532,0.9294661
St. Kitts and Nevis,361,Financial Markets Depth Index,FD_FMD_IX,Value,0.140082,0.1519152,0.153673,0.1878865,0.1474772,0.1193836,0.10959,0.1125512,0.1577677,0.1489913,0.1489747,0.1197604,0.1289126,0.1397993,0.1243454,0.1336625,0.1288806,0.1253361,0.1220482,0.1270921,0.1480393,0.1322254,0.1376588,0.1371384,0.1293988,0.1273084,0.1212502,0.1629894,0.2079636,0.2357159,0.2296978,0.2099961,0.2099961,0.2099961,0.2099961
St. Kitts and Nevis,361,Financial Markets Access Index,FD_FMA_IX,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Kitts and Nevis,361,Financial Markets Efficiency Index,FD_FME_IX,Value,0.0204387,0.0221652,0.0224217,0.0274136,0.0215177,0.0174187,0.0159897,0.0164218,0.0230191,0.0217386,0.0217362,0.0174736,0.018809,0.0203974,0.0181426,0.019502,0.0188043,0.0182872,0.0178074,0.0185434,0.0215997,0.0192924,0.0200851,0.0200092,0.0188799,0.003058,0.0027847,0.003639,0.0117456,0.0148849,0.0072009,0.0086061,0.0086061,0.0086061,0.0086061
St. Lucia,362,Financial Development Index,FD_FD_IX,Value,0.3033215,0.3150376,0.3134001,0.3134011,0.2941714,0.2752288,0.2388875,0.2444112,0.2783782,0.3028877,0.2980564,0.2501433,0.2385546,0.2667087,0.2606626,0.2595806,0.2673366,0.2658008,0.2724685,0.281579,0.2602223,0.2702117,0.2449092,0.2563763,0.2709678,0.280065,0.2758878,0.2901027,0.296872,0.2781179,0.2875311,0.289609,0.2877547,0.2877471,0.2889534
St. Lucia,362,Financial Institutions Index,FD_FI_IX,Value,0.5617551,0.5822907,0.5792654,0.5796467,0.5459839,0.5119597,0.4458837,0.4559927,0.5173405,0.5620181,0.5533107,0.4664446,0.4452309,0.4974826,0.4872499,0.4853808,0.499642,0.4963389,0.5080956,0.5258405,0.4870576,0.507042,0.46009,0.4816048,0.5089599,0.5236313,0.5184366,0.5430822,0.5549732,0.5193168,0.5367348,0.5403664,0.5372505,0.5378433,0.541952
St. Lucia,362,Financial Markets Index,FD_FM_IX,Value,0.0413421,0.0441018,0.0438713,0.0434919,0.03892,0.0352806,0.0290988,0.0299727,0.0361618,0.0402166,0.0393178,0.0309178,0.0290896,0.0328171,0.0310281,0.030746,0.0319061,0.0321555,0.0336563,0.0340258,0.030345,0.0302227,0.0268654,0.0281507,0.029808,0.0332248,0.0301139,0.0337319,0.0353004,0.0336679,0.0349663,0.0354661,0.0348952,0.0342871,0.0325771
St. Lucia,362,Financial Institutions Depth Index,FD_FID_IX,Value,0.2628097,0.2596234,0.2555947,0.2490774,0.2591584,0.2479228,0.2234458,0.2304328,0.2589186,0.2958727,0.2917793,0.2931826,0.2887788,0.3411466,0.3502229,0.3610564,0.3965262,0.3818779,0.3632888,0.3763162,0.3673007,0.3711083,0.3672853,0.3649146,0.3931314,0.4145204,0.4394692,0.47329,0.5105193,0.4618321,0.4530608,0.4600261,0.4749761,0.4687098,0.4476883
St. Lucia,362,Financial Institutions Access Index,FD_FIA_IX,Value,0.5889516,0.6282659,0.6249822,0.6195784,0.5544482,0.5026015,0.4145371,0.4269857,0.5151547,0.5729181,0.5601149,0.4404499,0.4144056,0.4675069,0.4420216,0.4380018,0.4545288,0.458082,0.4794623,0.484726,0.432289,0.4305467,0.3827192,0.4010303,0.4246392,0.4151872,0.41375,0.4199556,0.4100527,0.3933235,0.4611029,0.464408,0.4648627,0.4591944,0.4534299
St. Lucia,362,Financial Institutions Efficiency Index,FD_FIE_IX,Value,0.7777576,0.7980289,0.7980289,0.8179154,0.7782964,0.7492915,0.6773053,0.684941,0.7329121,0.7530348,0.7467554,0.6066294,0.5747278,0.6068139,0.5944307,0.5770828,0.550136,0.554715,0.5938312,0.6320016,0.5827013,0.6543683,0.5593131,0.6148388,0.6369601,0.6737974,0.6182866,0.6488748,0.6516834,0.6191763,0.5918461,0.5895715,0.5542384,0.574945,0.6316208
